"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag","MetricID","SnapshotDate","StudyID"
"0X4323","Site",18,142,0.126760563380282,-1.02075530660793,-1,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X8799","Site",6,66,0.0909090909090909,-1.00463133537523,-1,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X958","Site",5,59,0.0847457627118644,-1.00004328752072,-1,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X6900","Site",2,39,0.0512820512820513,-1.03457924552568,-1,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X8517","Site",14,34,0.411764705882353,1.26203698898612,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X6405","Site",13,32,0.40625,1.19128883991494,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X6603","Site",17,46,0.369565217391304,1.16457441173071,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X9737","Site",9,30,0.3,0.536602121495043,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X9142","Site",28,101,0.277227722772277,0.74199876824867,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X7011","Site",11,40,0.275,0.452017898619288,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X9360","Site",12,45,0.266666666666667,0.420182943903151,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X9580","Site",15,59,0.254237288135593,0.379927418889717,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X759","Site",11,44,0.25,0.298303301944804,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X4485","Site",14,58,0.241379310344828,0.272897475424122,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X8625","Site",13,57,0.228070175438596,0.164026461838366,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X5895","Site",9,41,0.219512195121951,0.0810288811138258,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X8633","Site",9,41,0.219512195121951,0.0810288811138258,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X1910","Site",7,32,0.21875,0.0670149248132166,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X2192","Site",22,101,0.217821782178218,0.109169675232759,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X213","Site",23,112,0.205357142857143,-0.0248639771741796,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X8786","Site",9,45,0.2,-0.0538525608483468,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X9346","Site",9,47,0.191489361702128,-0.116881608495298,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X5384","Site",10,53,0.188679245283019,-0.145803053845147,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X3090","Site",7,39,0.179487179487179,-0.185919556087334,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X4629","Site",8,47,0.170212765957447,-0.271494942182028,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X2532","Site",7,43,0.162790697674419,-0.311273861144712,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X4590","Site",10,67,0.149253731343284,-0.505999460902045,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X7983","Site",7,52,0.134615384615385,-0.557663141612605,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X8351","Site",11,89,0.123595505617978,-0.839763627716301,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X4959","Site",5,44,0.113636363636364,-0.660480714373656,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X2323","Site",8,74,0.108108108108108,-0.906952014745873,0,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X4874","Site",6,2,3,NA,NA,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X180","Site",7,6,1.16666666666667,NA,NA,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X7809","Site",9,14,0.642857142857143,NA,NA,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X2170","Site",14,29,0.482758620689655,NA,NA,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
"0X3289","Site",9,22,0.409090909090909,NA,NA,"Analysis_kri0001",2025-02-01,"AA-AA-000-0000"
