"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag"
"0X1748","Site",26,125,0.208,3.21709453324162,2
"0X7838","Site",8,32,0.25,2.19416183567484,1
"0X958","Site",32,497,0.0643863179074447,-1.21810726974169,-1
"0X8351","Site",28,440,0.0636363636363636,-1.18363370819263,-1
"0X9346","Site",35,570,0.0614035087719298,-1.4742803406337,-1
"0X3081","Site",26,435,0.0597701149425287,-1.36913368437304,-1
"0X8764","Site",8,162,0.0493827160493827,-1.15072170280351,-1
"0X8768","Site",5,107,0.0467289719626168,-1.00064445433917,-1
"0X2373","Site",7,155,0.0451612903225806,-1.25088393524231,-1
"0X5611","Site",5,126,0.0396825396825397,-1.27442887317737,-1
"0X5425","Site",2,61,0.0327868852459016,-1.01513626277971,-1
"0X4671","Site",1,43,0.0232558139534884,-1.00130534479005,-1
"0X1544","Site",1,79,0.0126582278481013,-1.581770051356,-1
"0X2894","Site",8,39,0.205128205128205,1.75421443498898,0
"0X8997","Site",10,49,0.204081632653061,1.94882810798688,0
"0X9395","Site",7,35,0.2,1.58949156654452,0
"0X9516","Site",8,42,0.19047619047619,1.59405269519379,0
"0X6184","Site",11,59,0.186440677966102,1.81541361281508,0
"0X2923","Site",5,30,0.166666666666667,1.03631335980103,0
"0X3839","Site",12,72,0.166666666666667,1.60544975358466,0
"0X1934","Site",11,67,0.164179104477612,1.50015859710328,0
"0X3871","Site",6,40,0.15,0.945328411569767,0
"0X4072","Site",21,149,0.140939597315436,1.56083883508408,0
"0X6572","Site",10,71,0.140845070422535,1.0755435923085,0
"0X9147","Site",6,45,0.133333333333333,0.73612491823697,0
"0X1233","Site",14,106,0.132075471698113,1.09891635500948,0
"0X8084","Site",5,38,0.131578947368421,0.650668954824971,0
"0X2170","Site",50,396,0.126262626262626,1.84824794511259,0
"0X3319","Site",17,138,0.123188405797101,1.0049707684399,0
"0X4874","Site",21,171,0.12280701754386,1.10680555461235,0
"0X4314","Site",28,228,0.12280701754386,1.27802896979203,0
"0X3090","Site",25,212,0.117924528301887,1.06288634086085,0
"0X180","Site",29,253,0.114624505928854,1.03598541318393,0
"0X7604","Site",12,105,0.114285714285714,0.65912631048251,0
"0X9418","Site",5,45,0.111111111111111,0.380728548681016,0
"0X9604","Site",14,127,0.110236220472441,0.616098025897765,0
"0X3415","Site",13,118,0.110169491525424,0.592138559362779,0
"0X8786","Site",38,345,0.110144927536232,1.01140492079005,0
"0X6603","Site",45,411,0.109489051094891,1.07221679741193,0
"0X6384","Site",14,130,0.107692307692308,0.554182149782847,0
"0X404","Site",10,93,0.10752688172043,0.464926213936563,0
"0X6832","Site",13,122,0.10655737704918,0.506973612831221,0
"0X6405","Site",36,338,0.106508875739645,0.841721312367175,0
"0X5033","Site",37,349,0.106017191977077,0.833409626705032,0
"0X7809","Site",34,322,0.105590062111801,0.782249969126733,0
"0X8420","Site",19,180,0.105555555555556,0.583758912584056,0
"0X2532","Site",44,417,0.105515587529976,0.886570286994044,0
"0X3938","Site",14,137,0.102189781021898,0.415359697407889,0
"0X4260","Site",20,203,0.0985221674876847,0.381025131466532,0
"0X3068","Site",10,102,0.0980392156862745,0.258459763959713,0
"0X8857","Site",7,73,0.0958904109589041,0.174882310910065,0
"0X5384","Site",38,399,0.0952380952380952,0.377792054416051,0
"0X2354","Site",5,53,0.0943396226415094,0.122096443507797,0
"0X7543","Site",3,32,0.09375,0.0869205857653367,0
"0X7184","Site",15,161,0.093167701863354,0.177351973843801,0
"0X4629","Site",32,344,0.0930232558139535,0.252853071030548,0
"0X9142","Site",75,808,0.0928217821782178,0.373867035556166,0
"0X9414","Site",18,194,0.0927835051546392,0.181923432481301,0
"0X7096","Site",12,132,0.0909090909090909,0.0987215040364081,0
"0X2901","Site",16,178,0.0898876404494382,0.0821498723582418,0
"0X9737","Site",27,301,0.0897009966777409,0.0991068036283512,0
"0X7983","Site",37,413,0.0895883777239709,0.110633722213127,0
"0X3909","Site",31,348,0.0890804597701149,0.0789659072094672,0
"0X8517","Site",28,316,0.0886075949367089,0.0552076589796775,0
"0X2192","Site",64,725,0.0882758620689655,0.062327860876382,0
"0X8625","Site",49,557,0.0879712746858169,0.037493264320747,0
"0X7208","Site",8,91,0.0879120879120879,0.013808604819802,0
"0X4485","Site",50,576,0.0868055555555556,-0.0285724069256158,0
"0X759","Site",24,277,0.0866425992779783,-0.0262800695193341,0
"0X1786","Site",12,141,0.0851063829787234,-0.0622389552148269,0
"0X4597","Site",4,47,0.0851063829787234,-0.0359336775473613,0
"0X8788","Site",24,283,0.0848056537102474,-0.100236233304844,0
"0X8633","Site",27,319,0.0846394984326019,-0.113495921155349,0
"0X7011","Site",27,321,0.0841121495327103,-0.136376411407807,0
"0X1910","Site",16,191,0.0837696335078534,-0.116482413685624,0
"0X5062","Site",10,120,0.0833333333333333,-0.103722685022156,0
"0X9360","Site",36,436,0.0825688073394495,-0.235767739053501,0
"0X9884","Site",5,61,0.0819672131147541,-0.0993891012495041,0
"0X022","Site",4,49,0.0816326530612245,-0.0946615981713309,0
"0X6991","Site",4,49,0.0816326530612245,-0.0946615981713309,0
"0X1102","Site",9,111,0.0810810810810811,-0.156328793102388,0
"0X7860","Site",3,37,0.0810810810810811,-0.0902564707797532,0
"0X4264","Site",19,240,0.0791666666666667,-0.300577170108195,0
"0X101","Site",7,89,0.0786516853932584,-0.194622323088506,0
"0X1727","Site",13,167,0.0778443113772455,-0.291471763556503,0
"0X9858","Site",7,90,0.0777777777777778,-0.215478071638966,0
"0X6410","Site",12,158,0.0759493670886076,-0.340295351498902,0
"0X9888","Site",6,79,0.0759493670886076,-0.240625150651134,0
"0X8091","Site",17,224,0.0758928571428571,-0.40719960907314,0
